,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,date,year
2347,4.0426658e-05,0.0008291997,0.0052761193,0.0001009003,0.07213619,0.45131758,0.4696001,0.0006103479,4.7913625e-05,4.122171e-05,2013-06-19,2013
2348,6.6066164e-06,0.00013555233,0.37465268,1.6489355e-05,0.015062443,0.00030953088,0.6050413,0.0047608386,7.830154e-06,6.7365454e-06,2013-06-20,2013
2349,1.4169913e-05,0.42253068,0.10576552,3.5366476e-05,0.32675567,0.0006954893,0.14395794,0.00021390589,1.6794163e-05,1.4448586e-05,2013-06-21,2013
2350,7.9974025e-06,0.00016388496,0.3490273,1.9960598e-05,0.0022629665,0.0038374094,0.6445421,0.00012072629,9.478512e-06,8.154684e-06,2013-06-21,2013
2351,4.446962e-05,0.000911661,0.1788226,0.0072367187,0.5533619,0.022907775,0.1875676,0.0490492,5.2705338e-05,4.5344183e-05,2013-06-21,2013
2352,8.652632e-06,0.00017813322,0.53973025,2.1595975e-05,0.04702902,0.00041219842,0.4124704,0.00013062076,1.02550885e-05,8.822798e-06,2013-06-24,2013
2353,4.590117e-06,9.4103416e-05,0.7406208,1.1456405e-05,0.010042852,0.00021702246,0.24486533,0.0041337875,5.440201e-06,4.6803884e-06,2013-06-26,2013
2354,7.102203e-06,0.022150733,0.7608294,1.7726285e-05,0.022068808,0.006219676,0.18858375,0.00010721335,8.417523e-06,7.241879e-06,2013-06-27,2013
2355,1.756946e-05,0.16686432,0.007577226,4.385136e-05,0.57697135,0.16864116,0.04997513,0.029870633,2.0823303e-05,1.791499e-05,2013-06-27,2013
2356,1.1248313e-05,0.00023060435,0.75475717,0.003544834,0.06996182,0.013462864,0.087868854,0.07013785,1.3331487e-05,1.1469528e-05,2013-07-05,2013
2357,1.5125256e-05,0.020198388,0.0765962,3.7750902e-05,0.3611621,0.52537173,0.0083449045,0.00824046,1.7926435e-05,1.5422718e-05,2013-07-08,2013
2358,2.436419e-05,0.00049953687,0.7909862,6.081022e-05,0.0036375348,0.040989,0.12158252,0.042166356,2.8876408e-05,2.4843348e-05,2013-07-08,2013
